Month;Year;Air RPM (000s)
1;1990;35153577
2;1990;32965187
3;1990;39993913
4;1990;37981886
5;1990;38419672
6;1990;42819023
7;1990;45770315
8;1990;48763670
9;1990;38173223
10;1990;39051877
11;1990;35699216
12;1990;37444088
1;1991;34848290
2;1991;29672427
3;1991;36202993
4;1991;37146602
5;1991;38869421
6;1991;42199760
7;1991;45384965
8;1991;48164550
9;1991;38481957
10;1991;39062110
11;1991;34688141
12;1991;38575165
1;1992;35265807
2;1992;33868884
3;1992;39724539
4;1992;37294373
5;1992;39728367
6;1992;45754460
7;1992;50807813
8;1992;53219046
9;1992;41564915
10;1992;40578092
11;1992;36863415
12;1992;39045016
1;1993;37911556
2;1993;34902869
3;1993;42058882
4;1993;40814097
5;1993;42133943
6;1993;44679864
7;1993;48622037
8;1993;50451675
9;1993;41677832
10;1993;43264475
11;1993;38868799
12;1993;40610043
1;1994;38863562
2;1994;36068535
3;1994;45433842
4;1994;42418163
5;1994;44297210
6;1994;48169096
7;1994;52410979
8;1994;53235052
9;1994;44677623
10;1994;45845403
11;1994;42230318
12;1994;43868116
1;1995;42050940
2;1995;38580784
3;1995;47390145
4;1995;45427499
5;1995;45915722
6;1995;49992583
7;1995;53345749
8;1995;54776466
9;1995;45589237
10;1995;46993036
11;1995;43703386
12;1995;45015358
1;1996;42734234
2;1996;43056589
3;1996;51646570
4;1996;48063492
5;1996;49808809
6;1996;53774378
7;1996;56576582
8;1996;58714135
9;1996;47857913
10;1996;49873317
11;1996;44696485
12;1996;49361193
1;1997;46692784
2;1997;43761932
3;1997;54755166
4;1997;50182894
5;1997;51979543
6;1997;55462027
7;1997;58771317
8;1997;60496856
9;1997;50076953
10;1997;51846329
11;1997;47743798
12;1997;50414361
1;1998;47290992
2;1998;44641209
3;1998;54453961
4;1998;53044174
5;1998;54302581
6;1998;57335447
7;1998;59441840
8;1998;60813085
9;1998;49560508
10;1998;53463147
11;1998;49561082
12;1998;51024977
1;1999;48861094
2;1999;46158194
3;1999;57761057
4;1999;54968382
5;1999;55469960
6;1999;59918608
7;1999;64397523
8;1999;63752132
9;1999;53733696
10;1999;57407208
11;1999;53866781
12;1999;52331272
1;2000;49745428
2;2000;49876910
3;2000;61378569
4;2000;58981617
5;2000;61165486
6;2000;65524091
7;2000;67883256
8;2000;66924512
9;2000;56441629
10;2000;58834210
11;2000;56283261
12;2000;55380280
1;2001;53129922
2;2001;49992995
3;2001;62323049
4;2001;59801562
5;2001;60246477
6;2001;64987625
7;2001;68573410
8;2001;69003617
9;2001;39106905
10;2001;44271037
11;2001;45245063
12;2001;48167518
1;2002;46587818
2;2002;45157533
3;2002;57423155
4;2002;53013066
5;2002;55663570
6;2002;60224150
7;2002;62570110
8;2002;62881793
9;2002;48925997
10;2002;52779975
11;2002;48902677
12;2002;55355434
1;2003;50602700
2;2003;46455943
3;2003;56033121
4;2003;51146721
5;2003;53591384
6;2003;59426357
7;2003;65041408
8;2003;64095456
9;2003;51347366
10;2003;55810667
11;2003;53249129
12;2003;57795908
1;2004;53447972
2;2004;52608801
3;2004;63600019
4;2004;61887720
